x,y
5.437481,9.748357
5.450409,9.757104
5.463338,9.765851
5.476267,9.774598
5.489195,9.783344
5.502124,9.792091
5.515052,9.800838
5.527981,9.809585
5.540910,9.818332
5.553838,9.827079
5.566767,9.835826
5.579695,9.844573
5.592624,9.853320
5.605553,9.862067
5.618481,9.870814
5.631410,9.879560
5.646862,9.879232
5.662315,9.878903
5.677767,9.878575
5.693219,9.878246
5.708672,9.877917
5.724124,9.877589
5.739577,9.877260
5.755029,9.876932
5.770481,9.876603
5.785934,9.876274
5.801386,9.875946
5.816839,9.875617
5.832291,9.875288
5.847743,9.874960
5.863196,9.874631
5.878648,9.874303
5.894100,9.873974
5.909553,9.873645
5.925005,9.873317
5.940458,9.872988
5.955910,9.872660
5.971362,9.872331
5.986815,9.872002
6.002267,9.871674
6.017720,9.871345
6.033172,9.871016
6.048624,9.870688
6.064077,9.870359
6.079529,9.870031
6.094982,9.869702
6.110434,9.869373
6.125886,9.869045
6.141339,9.868716
6.156791,9.868388
6.172244,9.868059
6.187696,9.867730
6.203148,9.867402
6.218601,9.867073
6.234053,9.866744
6.249506,9.866416
6.264958,9.866087
6.280410,9.865759
6.295863,9.865430
6.311315,9.865101
6.326767,9.864773
6.342220,9.864444
6.357672,9.864116
6.373125,9.863787
6.388577,9.863458
6.404029,9.863130
6.419482,9.862801
6.434934,9.862472
6.450387,9.862144
6.465839,9.861815
6.481291,9.861487
6.496744,9.861158
6.512196,9.860829
6.527649,9.860501
6.543101,9.860172
6.558553,9.859844
6.574006,9.859515
6.589458,9.859186
6.604911,9.858858
6.620363,9.858529
6.635815,9.858200
6.651268,9.857872
6.666720,9.857543
6.682172,9.857215
6.697625,9.856886
6.713077,9.856557
6.728530,9.856229
6.743982,9.855900
6.759434,9.855572
6.774887,9.855243
6.790339,9.854914
6.805792,9.854586
6.821244,9.854257
6.836696,9.853929
6.852149,9.853600
6.867601,9.853271
6.883054,9.852943
6.898506,9.852614
6.913958,9.852285
6.929411,9.851957
6.944863,9.851628
6.960316,9.851300
6.975768,9.850971
6.991220,9.850642
7.006673,9.850314
7.022125,9.849985
7.037578,9.849657
7.053030,9.849328
7.068482,9.848999
7.083935,9.848671
7.099387,9.848342
7.114839,9.848013
7.130292,9.847685
7.145744,9.847356
7.161197,9.847028
7.176649,9.846699
7.192101,9.846370
7.207554,9.846042
7.223006,9.845713
7.238459,9.845385
7.253911,9.845056
7.269363,9.844727
7.284816,9.844399
7.300268,9.844070
7.315721,9.843741
7.331173,9.843413
7.346625,9.843084
7.362078,9.842756
7.377530,9.842427
7.392983,9.842098
7.408435,9.841770
7.423887,9.841441
7.439340,9.841113
7.454792,9.840784
7.470244,9.840455
7.485697,9.840127
7.501149,9.839798
7.516602,9.839469
7.532054,9.839141
7.547506,9.838812
7.562959,9.838484
7.578411,9.838155
7.593864,9.837826
7.609316,9.837498
7.624768,9.837169
7.640221,9.836841
7.655673,9.836512
7.671126,9.836183
7.686578,9.835855
7.702030,9.835526
7.717483,9.835197
7.732935,9.834869
7.748388,9.834540
7.763840,9.834212
7.779292,9.833883
7.794745,9.833554
7.810197,9.833226
7.825650,9.832897
7.841102,9.832569
7.856554,9.832240
7.872007,9.831911
7.887459,9.831583
7.902911,9.831254
7.918364,9.830925
7.933816,9.830597
7.949269,9.830268
7.964721,9.829940
7.980173,9.829611
7.995626,9.829282
8.011078,9.828954
8.026531,9.828625
8.041983,9.828297
8.057435,9.827968
8.072888,9.827639
8.088340,9.827311
8.103793,9.826982
8.119245,9.826653
8.134697,9.826325
8.150150,9.825996
8.165602,9.825668
8.181055,9.825339
8.196507,9.825010
8.211959,9.824682
8.227412,9.824353
8.242864,9.824025
8.258316,9.823696
8.273769,9.823367
8.289221,9.823039
8.304674,9.822710
8.320126,9.822382
8.335578,9.822053
8.351031,9.821724
8.366483,9.821396
8.381936,9.821067
8.397388,9.820738
8.412840,9.820410
8.428293,9.820081
8.443745,9.819753
8.459198,9.819424
8.467782,9.806417
8.476366,9.793411
8.484950,9.780404
8.493534,9.767397
8.502118,9.754390
8.510703,9.741384
8.519287,9.728377
8.527871,9.715370
8.536455,9.702363
8.545039,9.689357
8.553623,9.676350
8.562208,9.663343
8.570792,9.650336
8.579376,9.637330
8.587960,9.624323
8.596544,9.611316
8.605128,9.598310
8.613713,9.585303
8.622297,9.572296
8.630881,9.559289
8.639465,9.546283
8.648049,9.533276
8.656633,9.520269
8.665218,9.507262
8.673802,9.494256
8.682386,9.481249
8.690970,9.468242
8.699554,9.455236
8.708138,9.442229
8.716723,9.429222
8.725307,9.416215
8.733891,9.403209
8.742475,9.390202
8.751059,9.377195
8.759643,9.364188
8.768228,9.351182
8.776812,9.338175
8.785396,9.325168
8.793980,9.312162
8.802564,9.299155
8.811148,9.286148
8.819733,9.273141
8.828317,9.260135
8.836901,9.247128
8.845485,9.234121
8.854069,9.221114
8.862653,9.208108
8.871238,9.195101
8.879822,9.182094
8.888406,9.169087
8.896990,9.156081
8.905574,9.143074
8.914158,9.130067
8.922743,9.117061
8.931327,9.104054
8.939911,9.091047
8.948495,9.078040
8.957079,9.065034
8.965663,9.052027
8.974248,9.039020
8.982832,9.026013
8.991416,9.013007
9.000000,9.000000
